Year,Month,Day,max_temp,min_temp
2024,1,1,-2.0,-7.5
2024,1,2,2.0,-8.0
2024,1,3,3.0,-2.0
2024,1,4,-7.0,-9.0
2024,1,5,-1.0,-13.0
2024,1,6,-8.0,-9.0
2024,1,7,-4.0,-10.5
2024,1,8,-1.0,-6.0
2024,1,9,2.0,-7.0
2024,1,10,5.5,-7.0
2024,1,11,-5.0,-7.5
2024,1,12,-1.0,-11.0
2024,1,13,2.5,-7.0
2024,1,14,-2.0,-6.0
2024,1,15,-5.0,-10.5
2024,1,16,-6.0,-14.0
2024,1,17,-8.0,-18.0
2024,1,18,-6.0,-12.5
2024,1,19,-13.5,-18.5
2024,1,20,-10.0,-17.0
2024,1,21,-6.0,-18.0
2024,1,22,0.0,-17.5
2024,1,23,-1.0,-3.5
2024,1,24,-1.0,-11.0
2024,1,25,1.0,-7.5
2024,1,26,3.0,-1.0
2024,1,27,2.0,0.0
2024,1,28,3.0,0.0
2024,1,29,1.0,-2.0
2024,1,30,-5.0,-8.0
2024,1,31,3.0,-7.5
2024,2,1,4.0,-1.0
2024,2,2,1.0,-1.5
2024,2,3,-1.5,-7.0
2024,2,4,1.0,-7.0
2024,2,5,4.0,-6.0
2024,2,6,3.0,-9.0
2024,2,7,3.0,-10.0
2024,2,8,6.0,-7.0
2024,2,9,10.0,-1.0
2024,2,10,7.0,2.5
2024,2,11,4.0,1.0
2024,2,12,4.0,-1.0
2024,2,13,5.0,-7.0
2024,2,14,-4.0,-10.5
2024,2,15,-3.0,-12.0
2024,2,16,-1.0,-7.0
2024,2,17,-6.0,-14.0
2024,2,18,-1.5,-16.0
2024,2,19,10.0,-14.5
2024,2,20,-6.0,-12.5
2024,2,21,5.0,-13.0
2024,2,22,7.0,-0.5
2024,2,23,5.0,0.5
2024,2,24,-9.0,-16.0
2024,2,25,2.5,-14.0
2024,2,26,4.5,-1.0
2024,2,27,10.0,-1.5
2024,2,28,16.0,3.0
2024,2,29,-6.5,-13.0
2024,3,1,6.0,-12.0
2024,3,2,6.5,-3.5
2024,3,3,9.0,1.5
2024,3,4,12.0,0.5
2024,3,5,17.0,1.0
2024,3,6,6.0,3.5
2024,3,7,12.0,1.0
2024,3,8,8.5,-2.0
2024,3,9,8.0,1.0
2024,3,10,4.0,-2.0
2024,3,11,6.0,-4.5
2024,3,12,11.0,-2.0
2024,3,13,10.0,0.0
2024,3,14,14.0,-1.0
2024,3,15,12.5,4.5
2024,3,16,7.0,-1.0
2024,3,17,7.0,1.0
2024,3,18,2.0,-1.0
2024,3,19,0.5,-6.0
2024,3,20,4.0,-1.0
2024,3,21,-2.0,-10.5
2024,3,22,-3.0,-12.0
2024,3,23,1.0,-6.0
2024,3,24,3.0,-8.5
2024,3,25,10.0,-5.0
2024,3,26,13.0,0.0
2024,3,27,16.0,5.0
2024,3,28,11.0,2.5
2024,3,29,9.0,-2.0
2024,3,30,8.0,-1.0
2024,3,31,12.0,0.5
2024,4,1,12.5,-1.5
2024,4,2,13.0,-1.0
2024,4,3,8.0,3.5
2024,4,4,2.0,-1.5
2024,4,5,8.0,0.0
2024,4,6,12.0,3.0
2024,4,7,17.0,-1.5
2024,4,8,19.0,1.0
2024,4,9,21.0,4.5
2024,4,10,23.0,6.5
2024,4,11,14.5,4.5
2024,4,12,18.0,11.0
2024,4,13,7.0,3.0
2024,4,14,10.0,0.0
2024,4,15,16.0,4.5
2024,4,16,15.0,2.0
2024,4,17,12.0,1.0
2024,4,18,9.0,3.5
2024,4,19,13.0,7.5
2024,4,20,10.0,3.0
2024,4,21,10.5,1.0
2024,4,22,12.0,-2.0
2024,4,23,18.0,1.0
2024,4,24,7.0,0.5
2024,4,25,10.0,-3.0
2024,4,26,15.0,-2.5
2024,4,27,21.0,2.5
2024,4,28,21.5,9.0
2024,4,29,13.0,5.5
